,scm,method,model,seed,seed2,q,estimate
7678,fairness_xy,gan_ncm,maf,7,42,ate,-0.06541544226067816
7679,fairness_xy,gan_ncm,maf,7,42,ate,-0.06511141238326046
7680,fairness_xy,gan_ncm,maf,7,3407,ate,-0.25232659072252783
7681,fairness_xy,gan_ncm,maf,7,3407,ate,-0.24959695273966173
7682,fairness_xy,gan_ncm,maf,7,3407,ate,-0.2531797319475677
7683,fairness_xy,gan_ncm,maf,7,3407,ate,-0.2518814652386496
7684,fairness_xy,gan_ncm,maf,7,3407,ate,-0.2533142633347957
7685,fairness_xy,gan_ncm,maf,7,3407,ate,-0.25112205909956725
7686,fairness_xy,gan_ncm,maf,7,3407,ate,-0.25126196966174374
7687,fairness_xy,gan_ncm,maf,7,3407,ate,-0.254689740669448
7688,fairness_xy,gan_ncm,maf,7,3407,ate,-0.24671564388116904
7689,fairness_xy,gan_ncm,maf,7,3407,ate,-0.25288467145826243
7690,fairness_xy,gan_ncm,maf,7,65535,ate,-0.10451714098708093
7691,fairness_xy,gan_ncm,maf,7,65535,ate,-0.10851784182762447
7692,fairness_xy,gan_ncm,maf,7,65535,ate,-0.10726536927462071
7693,fairness_xy,gan_ncm,maf,7,65535,ate,-0.10121802525981755
7694,fairness_xy,gan_ncm,maf,7,65535,ate,-0.11065103111120123
7695,fairness_xy,gan_ncm,maf,7,65535,ate,-0.1026871360293573
7696,fairness_xy,gan_ncm,maf,7,65535,ate,-0.1056569271630618
7697,fairness_xy,gan_ncm,maf,7,65535,ate,-0.10985824575471853
7698,fairness_xy,gan_ncm,maf,7,65535,ate,-0.11193971489193516
7699,fairness_xy,gan_ncm,maf,7,65535,ate,-0.11038275255607849
7700,fairness_xy,gan_ncm,maf,42,0,ate,-0.025603665301666467
7701,fairness_xy,gan_ncm,maf,42,0,ate,-0.02890744112812671
7702,fairness_xy,gan_ncm,maf,42,0,ate,-0.019446561393204886
7703,fairness_xy,gan_ncm,maf,42,0,ate,-0.02292312936868862
7704,fairness_xy,gan_ncm,maf,42,0,ate,-0.02498080384600654
7705,fairness_xy,gan_ncm,maf,42,0,ate,-0.03040805587504103
7706,fairness_xy,gan_ncm,maf,42,0,ate,-0.0170745616068399
7707,fairness_xy,gan_ncm,maf,42,0,ate,-0.029627748660532638
7708,fairness_xy,gan_ncm,maf,42,0,ate,-0.017446300888647792
7709,fairness_xy,gan_ncm,maf,42,0,ate,-0.01855481405911269
7710,fairness_xy,gan_ncm,maf,42,7,ate,-0.09572880762347336
7711,fairness_xy,gan_ncm,maf,42,7,ate,-0.09604062042744216
7712,fairness_xy,gan_ncm,maf,42,7,ate,-0.09853323782737045
7713,fairness_xy,gan_ncm,maf,42,7,ate,-0.09935540786924363
7714,fairness_xy,gan_ncm,maf,42,7,ate,-0.0982994210567133
7715,fairness_xy,gan_ncm,maf,42,7,ate,-0.10073678580188505
7716,fairness_xy,gan_ncm,maf,42,7,ate,-0.10092018059942515
7717,fairness_xy,gan_ncm,maf,42,7,ate,-0.10307238489381315
7718,fairness_xy,gan_ncm,maf,42,7,ate,-0.0885012982065615
7719,fairness_xy,gan_ncm,maf,42,7,ate,-0.09028768376652702
7720,fairness_xy,gan_ncm,maf,42,42,ate,-0.06443528174359475
7721,fairness_xy,gan_ncm,maf,42,42,ate,-0.06530919513517994
7722,fairness_xy,gan_ncm,maf,42,42,ate,-0.07159160063704378
7723,fairness_xy,gan_ncm,maf,42,42,ate,-0.07328650073222384
7724,fairness_xy,gan_ncm,maf,42,42,ate,-0.07162091500602255
7725,fairness_xy,gan_ncm,maf,42,42,ate,-0.06927462176092358
7726,fairness_xy,gan_ncm,maf,42,42,ate,-0.07130936294219822
7727,fairness_xy,gan_ncm,maf,42,42,ate,-0.07021285287726206
7728,fairness_xy,gan_ncm,maf,42,42,ate,-0.06059337232878312
7729,fairness_xy,gan_ncm,maf,42,42,ate,-0.07234998679315041
7730,fairness_xy,gan_ncm,maf,42,3407,ate,-0.24765880052557557
7731,fairness_xy,gan_ncm,maf,42,3407,ate,-0.2517444214135946
7732,fairness_xy,gan_ncm,maf,42,3407,ate,-0.2497994521605962
7733,fairness_xy,gan_ncm,maf,42,3407,ate,-0.24966154521099643
7734,fairness_xy,gan_ncm,maf,42,3407,ate,-0.25063239612379773
7735,fairness_xy,gan_ncm,maf,42,3407,ate,-0.25177600390576294
7736,fairness_xy,gan_ncm,maf,42,3407,ate,-0.24981662321052076
7737,fairness_xy,gan_ncm,maf,42,3407,ate,-0.2622816478211605
7738,fairness_xy,gan_ncm,maf,42,3407,ate,-0.25941938685734356
7739,fairness_xy,gan_ncm,maf,42,3407,ate,-0.253437593226449
7740,fairness_xy,gan_ncm,maf,42,65535,ate,-0.10141018485183867
7741,fairness_xy,gan_ncm,maf,42,65535,ate,-0.11541421008323433
7742,fairness_xy,gan_ncm,maf,42,65535,ate,-0.09927678675263696
7743,fairness_xy,gan_ncm,maf,42,65535,ate,-0.10923269349789222
7744,fairness_xy,gan_ncm,maf,42,65535,ate,-0.10516359883016485
7745,fairness_xy,gan_ncm,maf,42,65535,ate,-0.10300118781492995
7746,fairness_xy,gan_ncm,maf,42,65535,ate,-0.10457144346645303
7747,fairness_xy,gan_ncm,maf,42,65535,ate,-0.10091085108780862
7748,fairness_xy,gan_ncm,maf,42,65535,ate,-0.10405297172025657
7749,fairness_xy,gan_ncm,maf,42,65535,ate,-0.11242213573939508
7750,fairness_xy,gan_ncm,maf,3407,0,ate,-0.014264407706604976
7751,fairness_xy,gan_ncm,maf,3407,0,ate,-0.020567465878000624
7752,fairness_xy,gan_ncm,maf,3407,0,ate,-0.02598584600795395
7753,fairness_xy,gan_ncm,maf,3407,0,ate,-0.014062596421948348
7754,fairness_xy,gan_ncm,maf,3407,0,ate,-0.020667104545976367
7755,fairness_xy,gan_ncm,maf,3407,0,ate,-0.02154447665342024
7756,fairness_xy,gan_ncm,maf,3407,0,ate,-0.027613027523089417
7757,fairness_xy,gan_ncm,maf,3407,0,ate,-0.02730956791216088
7758,fairness_xy,gan_ncm,maf,3407,0,ate,-0.02251806686367086
7759,fairness_xy,gan_ncm,maf,3407,0,ate,-0.027563364362581666
7760,fairness_xy,gan_ncm,maf,3407,7,ate,-0.0998379539008793
7761,fairness_xy,gan_ncm,maf,3407,7,ate,-0.10089145121275173
7762,fairness_xy,gan_ncm,maf,3407,7,ate,-0.09532728015793479
7763,fairness_xy,gan_ncm,maf,3407,7,ate,-0.09719321176445184
7764,fairness_xy,gan_ncm,maf,3407,7,ate,-0.09853281033026767
7765,fairness_xy,gan_ncm,maf,3407,7,ate,-0.09972605246697142
7766,fairness_xy,gan_ncm,maf,3407,7,ate,-0.09280727835963842
7767,fairness_xy,gan_ncm,maf,3407,7,ate,-0.09275816537813042
7768,fairness_xy,gan_ncm,maf,3407,7,ate,-0.11733487964842143
7769,fairness_xy,gan_ncm,maf,3407,7,ate,-0.09315032967417047
7770,fairness_xy,gan_ncm,maf,3407,42,ate,-0.06042624420816098
7771,fairness_xy,gan_ncm,maf,3407,42,ate,-0.06748603244776602
7772,fairness_xy,gan_ncm,maf,3407,42,ate,-0.06757583766555339
7773,fairness_xy,gan_ncm,maf,3407,42,ate,-0.06494118179629166
7774,fairness_xy,gan_ncm,maf,3407,42,ate,-0.07279479855435822
7775,fairness_xy,gan_ncm,maf,3407,42,ate,-0.06715196979055721
7776,fairness_xy,gan_ncm,maf,3407,42,ate,-0.06275555039766953
